Behaviour,Confidence,Parrot confidence,http://www.youtube.com/watch?v=cYYtI8Hr_jE,Domesticated Manners,Parrot,5.41,UK,"Introductions, fearfulness, Building Confidence, Choice, PR",y,n,n,aaa
Behaviour,Self-control,Go wild and freeze,http://youtu.be/TzM0nvlQPsY?list=PLE4E3514F27696CE2,Pamﾒs Dog Academy,Dog,3.22,US,"On/off switch, calm down, jazz up and settle down",y,n,n,aaa
Behaviour,Drop,Teaching your dog to Drop,http://www.youtube.com/watch?v=ndTiVOCNY4M,Domesticated Manners,Dog,10.18,UK,Drop,y,y,n,"In-depth tutorial for behaviour modification, teaching/re-teaching relinquishment of items"
Behaviour,Lifeskills,Getting ready for the vet visit ,http://youtu.be/4n_J6EO55Cc?list=UUEx7qRAzUH_nmQn_hiLo2Ig,Domesticated Manners,Dog,2.17,UK,"Handling, mouth open, positioning, paw examination, vet examination",y,n,n,Demo
Behaviour,Lifeskills,Stop jumping  up,https://www.youtube.com/watch?v=lC_OKgQFgzw,Kikopup,Dog,5.3,US,zzz,y,y,y,aaa
Behaviour,Longline,Long line training,https://www.youtube.com/watch?v=caSNEpeDUCs,Sadieﾒs School for Dogs,Dog,6.58,UK,zzz,y,y,n,aaa
Behaviour,Place training,On to Bed ,https://www.youtube.com/watch?v=LB3f2HDsJRs&list=UUrYd_I0JgTtUOc4Re5z12xA,Natalie Light,Dog,2.47,UK,Clicker,y,n,y,aaa
Puppy training,Play Biting,How to stop puppy biting: training puppies not to bite,http://www.youtube.com/watch?v=1dKiaKSEilg,Kathy Santo,Dog,0.43,US,zzz,?,?,?,aaa
Puppy training,Play Biting,How to train puppy to stop biting.,http://www.youtube.com/watch?v=ZKjk84OkzcI,Tab289,Dog,1.54,US,zzz,?,?,?,aaa
Puppy training,Play Biting, How to train your puppy not to bite,http://www.youtube.com/watch?v=c77--cCHPyU&list=PLF26FD559887E7EA4&index=13,Kikopup,Dog,1.55,US,zzz,?,?,?,aaa
Puppy training,Play Biting,Dog Training: How to deal with a biting puppy,http://www.youtube.com/watch?v=ZdwjmhXjoak ,Jo Anne Basinger,Dog,1.4,US,zzz,?,?,?,aaa
Puppy training,Play Biting,Puppy Chewing & Biting - Stop bad puppy behaviours with one cue!!!,http://www.youtube.com/watch?v=v4rGHN71fpE,Krissykris1468,Dog,< 5 mins,US,zzz,?,?,?,aaa
Puppy training,Play Biting,Puppy mouthing (Training basics),http://www.youtube.com/watch?v=DwHk3o3P5cw ,Victoria Stilwell,Dog,> 5 mins,UK,zzz,?,?,?,aaa
Training,Lead Walking,Reinforcement Zone,http://www.youtube.com/watch?v=8U-fCDV3TXc,Susan Garrett,Dog,14.17,US,zzz,?,?,?,aaa
Training,Lead Walking,How to teach your dog to stop pulling (part 1),http://www.youtube.com/watch?v=NT8VDgR_Koo,Tab289,Dog,15.19,US,zzz,?,?,?,aaa
Training,Lead Walking,How to teach your dog to CALMLY walk on a LOOSE LEASH (part 2),http://www.youtube.com/watch?v=csfUmZ3xUY4&src_vid=NT8VDgR_Koo&feature=iv&annotation_id=annotation_521165 ,Tab289,Dog,8.57,US,zzz,?,?,?,aaa
Training,Lead Walking,3 Loose leash walking,http://www.youtube.com/watch?feature=player_detailpage&v=KUFGwYfVPjc,Penn Vet Working Dog Centre,Dog,9.26,US,zzz,?,?,?,aaa
Training,Lead Walking,Shaping polite walking with a high rate of reinforcement,"Part 1 - 
http://vimeo.com/13110409 
Part 2 -
http://vimeo.com/13562479 
Part 3 -
http://vimeo.com/13321611 ",Helix Fairweather,Dog,7.5,US,zzz,?,?,?,aaa
Training,Leave it/ Getting Items Back ,Teaching your dog to drop,http://www.youtube.com/watch?v=ndTiVOCNY4M,Domesticated Manners,Dog,,UK,zzz,?,?,?,aaa
Training,Leave it/ Getting Items Back,How to teach 'leave it' - without intimidation,http://www.youtube.com/watch?v=zNAOe1djDyc,Kikopup,Dog,6.4,US,zzz,?,?,?,aaa
